,Unnamed: 0,Area,Location,Project_Name,BHK,Covered_Parking,Open_Parking,Balcony,Valuation,final_price,Restaurant_count,Hospital_count,School_count,Shopping_mall_count,Gas_station_count,ATM_count,Best_Hospital_count,Best_ATM_count,Best_Restaurant_count,Best_school_count,Best_Shopping_mall_count,Best_Gas_station_count,Location_Kharadi,Location_Baner,Location_Hinjewadi,Location_Pimpri Chinchwad,Location_Balewadi,Location_Bavdhan,Location_Wakad,Location_Ravet,Location_Dhayri,Location_Mundhwa,Location_Punawale,Location_Wagholi,Location_Tathawade,Location_Kothrud,Location_Dhanori,Location_Moshi,Location_Hadapsar,Location_Mahalunge,Location_Pashan,Location_Aundh,Location_Ambegaon Budruk,Location_Gahunje,Location_Mohammadwadi,Location_Chikhali,Location_Charholi Budruk,Location_Viman Nagar,Location_Lohegaon,Location_Narhe,Location_Talegaon Dabhade,Location_Sus,Location_Undri,Location_Manjari Khurd,Location_Wadgaon Sheri,Location_Pimple Saudagar,Location_Chokhi Dhani,Location_Sus Road-Pashan,Location_Anand Nagar,Location_Alandi,Location_Nanded,Location_Magarpatta City,Location_Maan,Location_Kondhwa,Location_Thergaon,Location_Warje,Location_Mamurdi,Location_Paud Road,Location_Pune,Location_Bhugaon,Location_Pimple Gurav,Location_Pimple Nilakh,Location_Chinchwad,Location_Koregaon Park,Location_Kesnand,Location_Kondhwa Budruk,Location_Hingne Khurd,Location_Bibwewadi,Location_Vadgaon Budruk,Location_Erandwane,Location_Handewadi,Location_Ambegaon,Location_Kalyani Nagar,Location_Fursungi,Location_Pashan Road,Location_Parvati Darshan,Location_Pirangut,Location_Katraj,Location_Ghorpadi,Location_Sinhagad Road,Location_Handewadi Road-Hadapsar,Location_Manjari Budruk,encoded_project_name
4578,4621,429,Manjari Khurd,Township Codename Pegasus,1.0,0,0,1,3250000,3250000,20,21,22,12,3,9,13,2,8,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828
4579,4622,620,Manjari Khurd,Township Codename Pegasus,2.0,0,0,1,4800000,4800000,20,21,22,12,3,9,13,2,8,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828
4580,4623,746,Manjari Khurd,Township Codename Pegasus,2.0,0,0,1,6050000,6050000,20,21,22,12,3,9,13,2,8,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828
4581,4624,840,Manjari Khurd,Township Codename Pegasus,3.0,1,0,3,6850000,6850000,20,21,22,12,3,9,13,2,8,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828
4582,4625,932,Magarpatta City,Panchshil One North,4.0,1,0,2,36000000,35640000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213
4583,4626,932,Magarpatta City,Panchshil Realty One North,4.0,1,0,2,30000000,29700000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215
4584,4627,950,Magarpatta City,Magarpatta Trillium,2.0,0,1,2,9500000,9400000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892
4585,4629,932,Magarpatta City,Magarpatta Iris,2.0,1,0,2,7800000,7800000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889
4586,4630,750,Magarpatta City,Magarpatta Iris,2.0,1,0,1,7600000,7450000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889
4587,4631,2600,Magarpatta City,Panchshil Realty One North,4.0,1,0,2,36000000,35640000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215
4588,4632,932,Magarpatta City,Marvel Diva 1,5.0,0,0,3,39500000,39100000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980
4589,4633,1650,Magarpatta City,Shubh Casa Feliz Phase I,3.0,1,0,1,15000000,14850000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673
4590,4634,838,Magarpatta City,Kumar parc residence A1,2.0,1,0,1,8500000,8500000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817
4591,4635,860,Magarpatta City,Magarpatta City,2.0,0,0,2,2500000,2500000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886
4592,4636,780,Magarpatta City,Goel Ganga Avanta,2.0,1,0,1,7500000,7500000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538
4593,4637,1230,Magarpatta City,Magarpatta Cosmos,2.0,0,1,2,9000000,8900000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888
4594,4638,750,Magarpatta City,GOEL GANGA AVANTA,2.0,1,0,1,7500000,7500000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
4595,4639,860,Magarpatta City,kumar fireworks,2.0,0,1,2,9500000,9500000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040
4596,4640,815,Magarpatta City,kumar prospera magarpatta city ,2.0,0,1,2,8800000,8800000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042
4597,4641,750,Magarpatta City,Ganga Avanta,2.0,1,0,1,7600000,7600000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455
4598,4642,1200,Magarpatta City,Magarpatta Roystonea,2.0,0,1,2,12000000,12000000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891
4599,4643,1450,Magarpatta City,Magarpatta Roystonea,3.0,0,1,2,15500000,15500000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891
4600,4644,750,Magarpatta City,Magarpatta City Iris,2.0,0,1,2,8100000,8100000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887
4601,4645,1230,Magarpatta City,Magarpatta Jasminium,2.0,0,1,2,9500000,9400000,20,21,21,22,14,21,24,13,19,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890
